DateTime,volume_IVV,volume_RSP,volume_SCHX,volume_SPY,volume_VOO,volume_VTI,volume_XLE,volume_XLI,volume_XLK
2018-12-21,14262694,2648454,6141345,255345633,11811553,13605032,37394111,28744234,41613704
2018-12-24,6418996,1472733,4701622,147311588,8493506,14488502,15605923,15800225,21117015
2018-12-26,13154113,2744420,6233390,218485360,11597965,12512324,29096971,17549022,29060164
2018-12-27,12693625,2794666,5051710,186267342,9578360,16128459,24377297,13980668,23438844
2018-12-28,10856339,2426126,3977049,153100189,7436353,11668682,19437424,15917228,19843317
2018-12-31,10117850,3096170,4337268,144299370,6683957,9414804,18705301,10068931,16860072
2019-01-02,5979978,1783340,3844300,126925199,4891329,5093162,24892646,14687529,15442924
2019-01-03,5831148,1738915,2508060,144140692,3330026,5253273,18024052,25976240,24946730
2019-01-04,6430121,1308073,3618294,142628834,5100088,4776991,21351479,19883639,20767979
2019-01-07,5961329,1055104,2314772,103139100,3706014,4485145,18056906,15193145,11908943
2019-01-08,5348489,1192748,1482608,102512587,3546649,3949427,18692311,23069774,13002603
2019-01-09,4096967,1142360,1407572,95006554,4564975,6405370,18756783,10036734,14022385
2019-01-10,4325625,1420604,1253659,96823923,2813503,2685675,19167596,8900490,10934086
2019-01-11,5111675,1932998,2391042,73858110,2551033,3033939,14105948,10691276,7725602
2019-01-14,3709898,754711,1225962,70908227,2653373,2479452,13191739,10105477,7242062
2019-01-15,3781811,891727,1089954,85208271,5103721,4542135,9821467,12517456,14326996
2019-01-16,4387484,764594,1243036,77636710,4066725,2963158,12541129,12029894,9468643
2019-01-17,4447232,947663,1889467,96118435,3058990,4401077,10174827,22922580,10128415
2019-01-18,6994452,1057984,2308786,127900303,4943293,4224885,14531758,20020208,13651550
2019-01-22,5992314,3144127,2845001,115531183,5786312,5037882,19863168,15935259,14992512
2019-01-23,6762413,1446333,1334248,86030287,3076411,3934222,23367653,13243826,9576120
2019-01-24,3731726,1128049,1679792,59204139,2197083,3785480,13049182,10361834,14170898
2019-01-25,3333897,922532,1310381,96883358,3677453,2987329,10233586,13065935,10030815
2019-01-28,4425122,1084728,2096844,85613655,2407817,4371642,12022744,13143954,9662469
2019-01-29,4454068,809540,1032353,66136334,2436863,2975051,11884145,12384037,8573987
2019-01-30,5117188,1086062,1153043,92473671,6028369,3060684,12116611,16892456,16995325
2019-01-31,6521786,1924048,1706118,104012073,5308074,3932952,17844177,13867112,18250916
2019-02-01,3901763,1213911,1560777,85782524,3718458,3225350,14772410,11844953,9737796
2019-02-04,2960496,803778,1224151,60744844,2541718,4938202,10108051,7688416,7604287
